wavenumber_cm1,reflectance_input,reflectance_hampel_cleaned,reflectance_smoothed,baseline,detrended_residual,amplitude_envelope,normalized_fringe,is_hampel_outlier
571.3083,3.931652638,3.931652638,3.9433935105419557,62.1659834915249,-58.222589980982946,52.94515786776511,-0.7725885115278307,0
571.7904,3.902914997,3.902914997,3.9044363230009296,62.144177390656374,-58.239741067655444,52.587274436939985,-0.7781478999583133,0
572.2725,3.878326529,3.878326529,3.8739702564337515,62.12238102400896,-58.24841076757521,52.230812889352904,-0.7836462727345643,0
572.7546,3.87276989,3.87276989,3.8506458563915804,62.10059438947213,-58.24994853308055,51.87577322500385,-0.7891004368321447,0
573.2368,3.847539068,3.847539068,3.8357015828172107,62.07881296885174,-58.243111386034535,51.52215544389284,-0.794491853820328,0
573.7189,3.847182963,3.847182963,3.826719393870496,62.05704579422215,-58.23032640035165,51.16995954601987,-0.7998525365484641,0
574.201,3.845841619,3.845841619,3.8236627603059326,62.03528834537118,-58.21162558506525,50.81918553138493,-0.8051818444060491,0
574.6831,3.848136688,3.848136688,3.8269195880538893,62.01354062018832,-58.18662103213443,50.46983339998804,-0.8104732017165446,0
575.1652,3.847714187,3.847714187,3.8396964170064876,61.99180261656304,-58.152106199556556,50.12190315182919,-0.8156798254934913,0
575.6473,3.873949209,3.873949209,3.860931624435386,61.97007433238486,-58.109142707949474,49.775394786908365,-0.8208146747049343,0
576.1295,3.880504824,3.880504824,3.891510331886514,61.948351261559026,-58.05684092967251,49.43030830522558,-0.8258629855961926,0
576.6116,3.930555297,3.930555297,3.9347774005314946,61.92664241195844,-57.991865011426945,49.08664370678085,-0.8307741195800468,0
577.0937,3.982099853,3.982099853,3.9912601798283234,61.90494327547295,-57.91368309564463,48.74440099157414,-0.8355369785835666,0
577.5758,4.053590257,4.053590257,4.063626346927374,61.88325384999209,-57.819627503064716,48.40358015960548,-0.8401087665155613,0
578.0579,4.120003625,4.120003625,4.152129836572028,61.8615741334053,-57.70944429683327,48.06418121087486,-0.8444812522141415,0
578.54,4.238982991,4.238982991,4.258106161752151,61.83990412360208,-57.58179796184993,47.72620414538227,-0.8486298739592019,0
579.0222,4.353114468,4.353114468,4.3809863504893185,61.81823932657139,-57.43725297608207,47.389648963127726,-0.8525579474981387,0
579.5043,4.508462231,4.508462231,4.521331376895659,61.796588726016154,-57.275257349120494,47.05451566411121,-0.8562520339925144,0
579.9864,4.663548554,4.663548554,4.678539768804777,61.77494782591249,-57.096408057107716,46.72080424833274,-0.8597158563278486,0
580.4685,4.84627222,4.84627222,4.848646255285978,61.75331662414993,-56.904670368863954,46.38851471579231,-0.8630049732836323,0
580.9506,5.048764176,5.048764176,5.0346949824765606,61.73169511861797,-56.69700013614141,46.05764706648992,-0.8660682511360586,0
581.4327,5.236318423,5.236318423,5.232847851212419,61.710083307206055,-56.477235455993636,45.72820130042557,-0.8689602476875634,0
581.9149,5.458614288,5.458614288,5.443259557925722,61.68847670797109,-56.24521715004537,45.40017741759925,-0.8716744667610216,0
582.397,5.667760258,5.667760258,5.664384296395154,61.6668842804775,-56.00249998408234,45.073575418010975,-0.8742313239190321,0
582.8791,5.911761192,5.911761192,5.89341925284824,61.64530154077203,-55.75188228792379,44.74839530166073,-0.8766716438476327,0
583.3612,6.127290367,6.127290367,6.1292092255049875,61.62372848674413,-55.49451926123914,44.42463706854853,-0.8790111432165228,0
583.8433,6.376677561,6.376677561,6.372182422068567,61.60216511628332,-55.22998269421475,44.10230071867437,-0.8812404638800961,0
584.3254,6.619429507,6.619429507,6.6214042972473806,61.58061142727905,-54.95920713003167,43.781386252038246,-0.883372149544784,0
584.8076,6.864846878,6.864846878,6.875084800160747,61.559062949840374,-54.683978149679625,43.46189366864016,-0.8854330728632664,0
585.2897,7.152500616,7.152500616,7.132814851690329,61.5375286194248,-54.40471376773447,43.143822968480116,-0.8874283548290961,0
585.7718,7.411831833,7.411831833,7.39632090698454,61.516003964133816,-54.119683057149274,42.82717415155811,-0.8893275645393436,0
586.2539,7.676513096,7.676513096,7.6665545151966965,61.49448898185692,-53.827934466660224,42.51194721787414,-0.8911124316980733,0
586.736,7.953189411,7.953189411,7.941885101984205,61.47298367048358,-53.531098568499374,42.1981421674282,-0.8928077190559829,0
587.2181,8.225309935,8.225309935,8.225098782846574,61.45148802790331,-53.22638924505674,41.88575900022032,-0.8943638918706356,0
587.7003,8.530363757,8.530363757,8.514588198815188,61.4299975962615,-52.91540939744631,41.57479771625046,-0.8958050989294947,0
588.1824,8.817300088,8.817300088,8.816032502509856,61.40852128694028,-52.59248878443042,41.26525831551865,-0.8970307802216618,0
588.6645,9.123693038,9.123693038,9.127288557973074,61.38705464008012,-52.25976608210705,40.957140798024874,-0.8980730913222237,0
589.1466,9.414517271,9.414517271,9.451010978944304,61.36559765357056,-51.91458667462626,40.650445163769135,-0.8988812683299925,0
589.6287,9.756556604,9.756556604,9.785660376012622,61.34415032530106,-51.558489949288436,40.345171412751434,-0.8994770463895255,0
590.1108,10.10399896,10.10399896,10.129126262479765,61.3227126531611,-51.19358639068133,40.04131954497178,-0.8998930228663828,0
590.593,10.45557984,10.45557984,10.483182126543504,61.30128019131672,-50.81809806477322,39.73888956043015,-0.9000931812262747,0
591.0751,10.82209733,10.82209733,10.846023554769392,61.279861827106174,-50.433838272336786,39.43788145912657,-0.9001052637087842,0
591.5572,11.20544394,11.20544394,11.215395500969452,61.25845311269321,-50.04305761172376,39.13829524106103,-0.8999658623695864,0
592.0393,11.59650572,11.59650572,11.590922672785727,61.237054045967305,-49.646131373181575,38.840130906233526,-0.8996783651841741,0
592.5214,12.01277907,12.01277907,11.969735686076014,61.215664624817975,-49.24592893874196,38.54338845464406,-0.8992923594540663,0
593.0035,12.3966915,12.3966915,12.354482414484638,61.19428484713467,-48.83980243265003,38.24806788629263,-0.8987563162760228,0
593.4857,12.77931298,12.77931298,12.740578589300913,61.17291027908831,-48.432331689787404,37.95416920117923,-0.8981526881101639,0
593.9678,13.14737272,13.14737272,13.126297566993944,61.15154978400477,-48.02525221701083,37.66169239930389,-0.8975127631977802,0
594.4499,13.5154479,13.5154479,13.510820606379687,61.13019892605533,-47.61937831967564,37.37063748066657,-0.8968512730862742,0
594.932,13.89737279,13.89737279,13.896648204213614,61.10885770312943,-47.21220949891582,37.0810044452673,-0.8961197850579846,0
595.4141,14.28969426,14.28969426,14.284957179352542,61.08752611311658,-46.802568933764036,36.792793293106065,-0.895293962956528,0
595.8962,14.66873003,14.66873003,14.674846434717036,61.06620415390628,-46.391357719189244,36.50600402418287,-0.8943892393955241,0
596.3784,15.06434095,15.06434095,15.068668946070414,61.04488740365851,-45.97621845758809,36.22063663849771,-0.8933575178414556,0
596.8605,15.45943172,15.45943172,15.468664190421503,61.02358470171832,-45.554920511296814,35.936691136050584,-0.8921517112374463,0
597.3426,15.8720264,15.8720264,15.87605992007825,61.00229162424871,-45.126231704170465,35.654167516841504,-0.8907432045234939,0
597.8247,16.26367182,16.26367182,16.295108563458435,60.98100816913917,-44.68589960568074,35.37306578087046,-0.88904173709366,0
598.3068,16.68363999,16.68363999,16.7243320772734,60.95973433427915,-44.235402257005745,35.09338592813746,-0.8870704561562383,0
598.7889,17.13994385,17.13994385,17.16080344165718,60.93847011755817,-43.77766667590099,34.81512795864249,-0.8848829464139127,0
599.2711,17.58530163,17.58530163,17.603019087263583,60.91721110910956,-43.314192021845976,34.53829187238557,-0.8825051493040311,0
599.7532,18.04280921,18.04280921,18.050785232382896,60.89596612432908,-42.845180891946185,34.26287766936668,-0.8799369574785214,0
600.2353,18.49435916,18.49435916,18.502506451003356,60.87473075135565,-42.37222430035229,33.988885349585836,-0.877207385465559,0
600.7174,18.96865343,18.96865343,18.955533750241663,60.85350498807877,-41.897971237837105,33.716314913043014,-0.8743687705048845,0
601.1995,19.43423955,19.43423955,19.410199943687225,60.83228883238793,-41.422088888700706,33.445166359738245,-0.8714117251501393,0
601.6816,19.89423347,19.89423347,19.86370848368395,60.811082282172606,-40.947373798488655,33.175439689671514,-0.8683937297827679,0
