wavenumber_cm1,normalized_observed,normalized_fitted,residual
589.6287,-0.86981437360604,-0.8859698654239521,0.016155491817912093
590.1108,-0.8701591583681496,-0.8815143370346772,0.011355178666527577
590.593,-0.8702685566945844,-0.876900441976987,0.006631885282402661
591.0751,-0.8702335102938032,-0.87212925911257,0.0018957488187667515
591.5572,-0.8699923216051264,-0.8671990766969866,-0.0027932449081398136
592.0393,-0.8695912764693192,-0.8621091874718885,-0.007482088997430747
592.5214,-0.8690232846731909,-0.8568589487246816,-0.012164335948509297
593.0035,-0.8682780750016269,-0.8514477828053906,-0.01683029219623633
593.4857,-0.8674398389146745,-0.8458740049304174,-0.021565833984257043
593.9678,-0.8664376661982331,-0.8401394807389089,-0.026298185459324275
594.4499,-0.8653378693168344,-0.8342426914169205,-0.031095177899913895
594.932,-0.864202329072632,-0.8281833241044203,-0.03601900496821164
