wavenumber_cm1,reflectance_input,reflectance_hampel_cleaned,reflectance_smoothed,baseline,detrended_residual,amplitude_envelope,normalized_fringe,is_hampel_outlier
2053.335,18.2675368,18.2675368,18.257481904099144,17.72664370153095,0.5308382025681944,0.48466220215996875,0.6851437755308378,0
2053.817,18.27396261,18.27396261,18.268278769548633,17.727641273030763,0.5406374965178706,0.489606218314928,0.6908126478256701,0
2054.299,18.28734618,18.28734618,18.27966781659996,17.728638296933873,0.5510295196660877,0.4946100549837725,0.6970416106236155,0
2054.781,18.27585253,18.27585253,18.28944338100336,17.729634773454112,0.5598086075492468,0.49965517441745244,0.7010434255702613,0
2055.263,18.30108127,18.30108127,18.30038760372647,17.730630702805314,0.5697569009211563,0.5047619131967003,0.7063445732055209,0
2055.746,18.31556327,18.31556327,18.308845256462657,17.73162814974161,0.5772171067210472,0.5099120338390589,0.7083892802454419,0
2056.228,18.3217172,18.3217172,18.318325447861806,17.73262298426214,0.5857024635996666,0.5151273683868064,0.7115619812201633,0
2056.71,18.3199937,18.3199937,18.326853978169098,17.73361727225558,0.5932367059135188,0.520382189888555,0.7134591576241471,0
2057.192,18.34712351,18.34712351,18.333347798822906,17.734611013935755,0.5987367848871514,0.5256739571567651,0.7128178150605785,0
2057.674,18.33120862,18.33120862,18.341594922235785,17.735604209516502,0.605990712719283,0.5309898960673536,0.7142474671652056,0
2058.156,18.34624561,18.34624561,18.349207772353473,17.73659685921165,0.6126109131418218,0.5363371447266334,0.714858497693917,0
2058.638,18.35149469,18.35149469,18.35675734888175,17.737588963235044,0.6191683856467058,0.5417300483938065,0.715323170291353,0
2059.12,18.36542779,18.36542779,18.365031598008915,17.738580521800504,0.6264510762084115,0.5471654282565775,0.7165615496892178,0
2059.603,18.39152149,18.39152149,18.374599979656512,17.739573590599473,0.6350263890570389,0.552627808737825,0.7192208681257998,0
2060.084,18.36865398,18.36865398,18.381193079355757,17.74056200341297,0.6406310759427889,0.558130253674422,0.7184062513294777,0
2060.567,18.38799057,18.38799057,18.388385231794466,17.741553980104598,0.6468312516898678,0.5636533713921152,0.7182497410784329,0
