frequency_per_corrected_cm1,amplitude,equivalent_thickness_um,is_candidate,candidate_rank,is_selected_fundamental
0.012736814177830175,14.263018959421474,63.684070889150874,0,-1,0
0.01288665905051053,11.853444987917165,64.43329525255265,0,-1,0
0.013036503923190886,12.725825855106468,65.18251961595443,0,-1,0
0.013186348795871241,15.838116908391607,65.9317439793562,0,-1,0
0.013336193668551596,10.486906306367166,66.68096834275798,0,-1,0
0.01348603854123195,12.858541539400901,67.43019270615976,0,-1,0
0.013635883413912305,14.282719212524912,68.17941706956152,0,-1,0
0.01378572828659266,13.186566337238032,68.9286414329633,0,-1,0
0.013935573159273016,11.280541681250742,69.67786579636508,0,-1,0
0.014085418031953371,12.807919166893841,70.42709015976685,0,-1,0
0.014235262904633726,8.870447028283694,71.17631452316863,0,-1,0
0.01438510777731408,13.628070100169488,71.92553888657041,0,-1,0
0.014534952649994435,13.472549837785708,72.67476324997217,0,-1,0
