wavenumber_cm1,normalized_observed,normalized_fitted,residual
1539.398,-0.3912709585618448,-0.6067369612819161,0.21546600272007133
1539.881,-0.38798786895324117,-0.5984746212316678,0.21048675227842667
1540.363,-0.3842037703367045,-0.5901099694691131,0.2059061991324086
1540.845,-0.3828590755328828,-0.5816277062349132,0.19876863070203044
1541.327,-0.3808717851644718,-0.573029533461535,0.19215774829706317
1541.809,-0.3810429484836377,-0.5643171730287002,0.18327422454506254
1542.291,-0.3837473723464425,-0.5554923664084767,0.17174499406203414
1542.773,-0.38740836420092,-0.5465568743074389,0.15914851010651893
1543.255,-0.39083687178175514,-0.5375124763060035,0.14667560452424838
1543.738,-0.39573792579520317,-0.5283418738870762,0.13260394809187304
1544.22,-0.40123557647455504,-0.5190848599547425,0.11784928348018747
1544.702,-0.4055075194630619,-0.509724392281864,0.10421687281880204
